Date,Predicted_Temperature_C
2023-12-19 06:00:00,9.745972
2023-12-19 09:00:00,13.701333
2023-12-19 12:00:00,15.39792
2023-12-19 15:00:00,15.133619
2023-12-19 18:00:00,13.269157
2023-12-19 21:00:00,13.592422
2023-12-20 00:00:00,12.64363
2023-12-20 03:00:00,11.281763
2023-12-20 06:00:00,11.059273
2023-12-20 09:00:00,12.70154
2023-12-20 12:00:00,13.7026825
2023-12-20 15:00:00,13.687578
2023-12-20 18:00:00,11.606283
2023-12-20 21:00:00,11.2703705
2023-12-21 00:00:00,11.23642
2023-12-21 03:00:00,9.333128
2023-12-21 06:00:00,9.908027
2023-12-21 09:00:00,12.900182
2023-12-21 12:00:00,14.51605
2023-12-21 15:00:00,13.286985
2023-12-21 18:00:00,11.285957
2023-12-21 21:00:00,11.846259
2023-12-22 00:00:00,11.345605
2023-12-22 03:00:00,10.9805355
2023-12-22 06:00:00,9.115579
2023-12-22 09:00:00,12.121695
2023-12-22 12:00:00,13.472207
2023-12-22 15:00:00,13.966451
2023-12-22 18:00:00,12.436158
2023-12-22 21:00:00,10.611075
2023-12-23 00:00:00,11.579815
2023-12-23 03:00:00,10.807867
2023-12-23 06:00:00,9.710072
2023-12-23 09:00:00,11.162444
2023-12-23 12:00:00,13.159593
2023-12-23 15:00:00,12.704069
2023-12-23 18:00:00,9.684431
2023-12-23 21:00:00,11.901395
2023-12-24 00:00:00,12.035183
2023-12-24 03:00:00,8.29873
2023-12-24 06:00:00,10.022795
2023-12-24 09:00:00,9.765001
2023-12-24 12:00:00,11.528857
2023-12-24 15:00:00,12.587975
2023-12-24 18:00:00,11.251846
2023-12-24 21:00:00,10.917477
2023-12-25 00:00:00,13.397599
2023-12-25 03:00:00,10.613727
2023-12-25 06:00:00,11.356002
2023-12-25 09:00:00,11.052957
2023-12-25 12:00:00,14.810971
2023-12-25 15:00:00,15.440701
2023-12-25 18:00:00,13.026188
2023-12-25 21:00:00,10.768439
2023-12-26 00:00:00,12.023194
2023-12-26 03:00:00,10.177925
2023-12-26 06:00:00,11.915952
2023-12-26 09:00:00,11.920836
2023-12-26 12:00:00,13.641735
2023-12-26 15:00:00,13.900417
2023-12-26 18:00:00,12.093107
2023-12-26 21:00:00,11.972725
2023-12-27 00:00:00,12.613877
2023-12-27 03:00:00,9.944832
2023-12-27 06:00:00,8.864195
2023-12-27 09:00:00,12.876058
2023-12-27 12:00:00,14.21173
2023-12-27 15:00:00,14.110098
2023-12-27 18:00:00,12.106731
2023-12-27 21:00:00,11.636342
2023-12-28 00:00:00,12.140937
2023-12-28 03:00:00,9.621651
2023-12-28 06:00:00,11.080783
2023-12-28 09:00:00,12.990307
2023-12-28 12:00:00,13.237603
2023-12-28 15:00:00,14.477018
2023-12-28 18:00:00,9.826682
2023-12-28 21:00:00,10.71792
2023-12-29 00:00:00,13.618816
2023-12-29 03:00:00,11.917325
2023-12-29 06:00:00,12.075601
2023-12-29 09:00:00,13.860221
2023-12-29 12:00:00,14.7442
2023-12-29 15:00:00,14.619692
2023-12-29 18:00:00,12.982395
2023-12-29 21:00:00,13.3747015
2023-12-30 00:00:00,14.055388
