ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07643;2023-08-28T17:00:00+02:00;100760;-40.0;6;310;10.2;300.35;279.75;27;27680.0;0;;;90.0;7;2640.0;;;;100670.0;;;-200.0;;;;;289.85;;;15.7;19.4;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;6.0;;2640.0;7.0;;3480.0;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;27.200000000000045;;;;;16.700000000000045;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;8
07643;2023-09-26T11:00:00+02:00;102200;60.0;0;40;2.9;294.25;284.25;53;59950.0;0;;;;0;;;;;102110.0;;;-40.0;;;;;280.45;;;4.3;5.7;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;21.100000000000023;;;;;7.300000000000011;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2023-09-22T23:00:00+02:00;101370;230.0;2;300;3.4;291.05;281.05;52;60000.0;0;;;;1;1750.0;;;;101280.0;;;770.0;;;;;287.15;;;5.0;6.3;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.6;;;;;1.0;;1680.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.900000000000034;;;;;14.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2023-01-05T19:00:00+01:00;102380;-20.0;6;290;2.6;286.95;281.15;68;60000.0;0;;;;0;;;;;102280.0;;;-700.0;282.85;;292.75;;281.15;;;3.9;7.5;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.800000000000011;9.700000000000045;;19.600000000000023;;8.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;1
07643;2023-01-07T04:00:00+01:00;102270;-120.0;6;20;2.2;281.65;280.75;94;12540.0;0;;;;0;;;;;102170.0;;;-200.0;;;;;282.35;;;2.8;3.9;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;8.5;;;;;9.200000000000045;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;1
07643;2023-02-12T19:00:00+01:00;103410;60.0;3;240;2.1;280.85;275.75;70;7000.0;0;;;;;;;;;103310.0;;;;269.65;;285.65;;;;;;3.1;-10.0;;0.0;;;;0.0;;0.0;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;7.7000000000000455;-3.5;;12.5;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2023-02-13T10:00:00+01:00;103770;140.0;2;30;2.8;279.05;273.95;70;16020.0;0;;;;0;;;;;103670.0;;;200.0;;;;;272.15;;;3.8;5.1;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;5.900000000000034;;;;;-1.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2023-02-17T07:00:00+01:00;103140;30.0;2;340;1.6;275.05;274.95;99;300.0;45;;;101.0;9;30.0;;;;103040.0;;;70.0;273.55;;282.95;;274.75;;;2.7;2.7;-10.0;;0.0;;;0.0;0.0;-0.1;-0.1;-0.1;;;;;0.0;0;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse;;Brouillard ou brouillard glacé, ciel invisible, sans changement appréciable au cours de l’heure précédente;1.900000000000034;0.4000000000000341;;9.800000000000011;;1.6000000000000227;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2023-02-21T10:00:00+01:00;102290;0.0;4;30;4.3;284.45;281.65;83;15690.0;0;;;100.0;8;450.0;;;;102190.0;;;-490.0;;;;;277.75;;;6.1;6.1;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;360.0;8.0;;1020.0;;;;;;;43.577, 3.963167;MONTPELLIER;Stationnaire, la pression atmosphérique est la même que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.300000000000011;;;;;4.600000000000023;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2023-02-24T22:00:00+01:00;100810;50.0;1;290;1.5;282.65;282.55;99;500.0;44;;;90.0;;150.0;;;;100710.0;;;;;;;;;;;;2.1;-10.0;;0.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;Brouillard ou brouillard glacé, ciel visible, sans changement appréciable au cours de l’heure précédente;9.5;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
