ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07621;2023-03-31T08:00:00+02:00;101840;240.0;1;300;4.2;286.15;283.15;82;15720.0;0;;;100.0;8;450.0;;;;97550.0;;;-240.0;283.95;;290.95;;284.65;;;6.3;8.5;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;570.0;8.0;;780.0;;;;;;;43.188, 0.0;TARBES-OSSUN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.0;10.800000000000011;;17.80000000000001;;11.5;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;3
07621;2023-04-01T11:00:00+02:00;102050;-50.0;7;240;7.2;284.75;278.65;66;1040.0;10;;;100.0;7;800.0;;;;97720.0;;;70.0;;;;;282.65;;;11.0;12.5;-10.0;0;0.0;;;0.0;0.0;0.2;0.2;0.4;;;;;4.0;;870.0;7.0;;1050.0;8.0;;3240.0;;8;;43.188, 0.0;TARBES-OSSUN;En baisse;;Brume;11.600000000000023;;;;;9.5;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2023-04-02T11:00:00+02:00;102470;190.0;3;280;7.3;281.45;279.55;88;2170.0;63;;;100.0;8;450.0;;;;98080.0;;;360.0;;;;;280.65;;;12.2;12.2;-10.0;2;0.0;;;1.1;3.1;5.9;10.5;22.4;;;;;5.0;;330.0;7.0;;510.0;7.0;;1230.0;;9;;43.188, 0.0;TARBES-OSSUN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;Pluie, sans congélation, continue, modérée au moment de l’observation;8.300000000000011;;;;;7.5;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2023-04-05T20:00:00+02:00;101950;-20.0;5;30;2.2;286.05;274.35;45;51560.0;0;;;;0;;;;;97640.0;;;-90.0;274.35;;290.15;;278.15;;;3.7;4.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.188, 0.0;TARBES-OSSUN;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.900000000000034;1.2000000000000455;;17.0;;5.0;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2023-07-05T23:00:00+02:00;101850;30.0;0;200;1.3;291.75;289.35;86;30270.0;0;;;100.0;1;800.0;;;;97650.0;;;-180.0;;;;;292.05;;;1.6;2.2;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;690.0;7.0;;1620.0;8.0;;5160.0;;;;43.188, 0.0;TARBES-OSSUN;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.600000000000023;;;;;18.900000000000034;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;7
07621;2023-07-08T08:00:00+02:00;101460;160.0;3;190;2.4;292.75;289.35;81;26930.0;0;;;;0;;;;;97290.0;;;70.0;287.25;;293.75;;288.65;;;4.1;5.2;-10.0;2;0.0;;;0.0;0.0;0.0;1.7;7.1;;;;;;;;;;;;;;;;;43.188, 0.0;TARBES-OSSUN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;19.600000000000023;14.100000000000023;;20.600000000000023;;15.5;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;7
07621;2023-07-10T02:00:00+02:00;102390;50.0;0;250;1.3;293.55;290.75;84;19710.0;0;;;100.0;8;800.0;;;;98190.0;;;600.0;;;;;293.95;;;2.8;3.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;900.0;;;;;;;;;;43.188, 0.0;TARBES-OSSUN;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;20.400000000000034;;;;;20.80000000000001;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;7
07621;2023-07-18T17:00:00+02:00;101740;140.0;1;290;5.7;297.85;293.35;76;9810.0;0;;;;1;800.0;;;;97640.0;;;-150.0;;;;;289.75;;;8.8;10.6;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;720.0;5.0;;5280.0;;;;;;;43.188, 0.0;TARBES-OSSUN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;24.700000000000045;;;;;16.600000000000023;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;7
07621;2023-07-22T02:00:00+02:00;101970;60.0;0;290;0.5;290.35;287.95;86;28970.0;0;;;100.0;2;1250.0;;;;97740.0;;;280.0;;;;;291.05;;;1.2;10.2;-10.0;0;0.0;;;0.0;0.0;0.0;0.2;2.4;;;;;2.0;;1470.0;4.0;;4200.0;8.0;;5160.0;;;;43.188, 0.0;TARBES-OSSUN;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.200000000000045;;;;;17.900000000000034;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;7
07621;2023-08-25T02:00:00+02:00;101590;90.0;1;280;3.1;294.55;293.75;95;5640.0;0;;;100.0;8;150.0;;;;97450.0;;;230.0;;;;;296.25;;;5.1;7.6;-10.0;1;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;150.0;;;;;;;;;;43.188, 0.0;TARBES-OSSUN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;21.400000000000034;;;;;23.100000000000023;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;8
